,428,428_end,weekday,dayofweek,hour,minute,day,holiday,freetaxi,377,378,379,427,429,477,478,479,377_end,378_end,379_end,427_end,429_end,477_end,478_end,479_end
1/12/2019 0:00,0,0,0,6,0,0,1,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2019 0:15,0,0,0,6,0,15,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1
1/12/2019 0:30,0,0,0,6,0,30,1,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0
1/12/2019 0:45,0,0,0,6,0,45,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/12/2019 1:00,0,0,0,6,1,0,1,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1/12/2019 1:15,0,0,0,6,1,15,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/12/2019 1:30,0,0,0,6,1,30,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
1/12/2019 1:45,0,0,0,6,1,45,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/12/2019 2:00,0,0,0,6,2,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/12/2019 2:15,0,0,0,6,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1/12/2019 2:30,0,0,0,6,2,30,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1/12/2019 2:45,0,0,0,6,2,45,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2019 3:00,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1/12/2019 3:15,0,0,0,6,3,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
1/12/2019 3:30,0,0,0,6,3,30,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2019 3:45,0,0,0,6,3,45,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1/12/2019 4:00,0,0,0,6,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2019 4:15,0,0,0,6,4,15,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/12/2019 4:30,0,0,0,6,4,30,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1/12/2019 4:45,0,0,0,6,4,45,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/12/2019 5:00,0,1,0,6,5,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1/12/2019 5:15,0,0,0,6,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1/12/2019 5:30,0,0,0,6,5,30,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
