,428,428_end,weekday,dayofweek,hour,minute,day,holiday,freetaxi,377,378,379,427,429,477,478,479,377_end,378_end,379_end,427_end,429_end,477_end,478_end,479_end
2019-10-01 00:00:00,7,1,1,1,0,0,1,0,139,24,4,1,5,3,12,17,5,5,2,2,8,0,1,2,1
2019-10-01 00:15:00,11,4,1,1,0,15,1,0,114,17,11,4,22,8,4,14,5,4,3,1,12,1,0,3,0
2019-10-01 00:30:00,12,2,1,1,0,30,1,0,58,20,13,8,20,5,2,25,8,5,2,2,2,0,0,5,0
2019-10-01 00:45:00,3,0,1,1,0,45,1,0,27,10,6,2,15,4,8,5,15,6,3,0,2,1,1,5,1
2019-10-01 01:00:00,3,4,1,1,1,0,1,0,68,4,12,7,5,3,1,7,1,2,2,0,0,2,5,3,0
2019-10-01 01:15:00,11,2,1,1,1,15,1,0,30,14,19,5,7,2,5,23,1,5,0,2,4,3,1,1,0
2019-10-01 01:30:00,8,0,1,1,1,30,1,0,60,10,4,2,8,3,2,10,3,1,0,1,2,1,0,3,1
2019-10-01 01:45:00,3,2,1,1,1,45,1,0,63,5,3,5,7,2,8,4,2,0,1,1,1,1,0,3,0
2019-10-01 02:00:00,7,0,1,1,2,0,1,0,126,14,0,3,11,4,0,20,1,2,2,1,0,2,0,0,0
2019-10-01 02:15:00,5,0,1,1,2,15,1,0,50,10,8,2,17,3,0,11,2,0,0,1,6,0,1,0,0
2019-10-01 02:30:00,7,0,1,1,2,30,1,0,30,2,6,3,17,3,0,4,0,2,0,0,1,1,4,0,0
2019-10-01 02:45:00,11,0,1,1,2,45,1,0,36,10,7,1,10,4,0,13,0,1,0,3,0,0,1,1,0
2019-10-01 03:00:00,2,2,1,1,3,0,1,0,34,14,2,1,17,1,1,13,1,15,0,1,3,1,0,1,0
2019-10-01 03:15:00,9,0,1,1,3,15,1,0,24,12,4,0,12,7,0,11,0,3,0,1,2,0,1,1,0
2019-10-01 03:30:00,1,0,1,1,3,30,1,0,106,1,2,0,3,5,5,3,1,3,0,0,4,0,2,0,1
2019-10-01 03:45:00,4,0,1,1,3,45,1,0,114,8,1,0,5,1,2,4,1,1,0,0,2,0,1,1,0
2019-10-01 04:00:00,2,2,1,1,4,0,1,0,63,0,1,0,8,0,2,4,0,2,3,0,5,0,5,1,0
2019-10-01 04:15:00,2,1,1,1,4,15,1,0,59,2,0,1,6,0,4,2,0,5,0,0,3,2,0,1,1
2019-10-01 04:30:00,0,1,1,1,4,30,1,0,69,3,0,1,0,0,3,3,0,1,1,1,1,2,0,0,0
2019-10-01 04:45:00,2,0,1,1,4,45,1,0,34,3,0,1,7,7,3,3,0,2,2,1,0,7,0,0,1
2019-10-01 05:00:00,0,0,1,1,5,0,1,0,34,1,0,0,2,7,1,4,4,1,2,0,0,0,0,2,0
2019-10-01 05:15:00,0,4,1,1,5,15,1,0,35,4,0,0,3,0,0,1,0,8,3,1,2,1,0,0,4
2019-10-01 05:30:00,2,4,1,1,5,30,1,0,32,0,0,0,1,0,1,0,2,7,6,1,2,6,0,4,9
2019-10-01 05:45:00,0,6,1,1,5,45,1,0,48,6,1,0,3,1,2,1,0,4,10,2,3,0,1,1,3
2019-10-01 06:00:00,1,9,1,1,6,0,1,0,46,0,6,0,0,0,0,1,0,14,6,0,5,1,0,10,11
2019-10-01 06:15:00,0,7,1,1,6,15,1,0,72,4,1,0,0,0,1,1,0,7,10,5,6,2,0,5,9
2019-10-01 06:30:00,0,17,1,1,6,30,1,0,37,1,1,0,2,1,5,2,1,12,31,3,11,2,7,3,19
